answer to,answer to,VB TO,8,1.3038e-06,0.00011901,1.7661,0.2475,0.13211
answer to,answer to,VBP TO,1,1.6297e-07,1.4912e-05,2.3393,0.75958,2.0564
answer to,answer to,VBZ TO,1,3.2594e-07,2.9823e-05,3.5123,1.1824,2.6089
any day,any day,DT NN,21,3.5854e-06,0.0032971,10.157,3.1437,1.6005
anything but,anything but,NN CC,161,2.6238e-05,0.0076738,184.5,11.238,3.1287
apart from,apart from,NN IN,4,6.5189e-07,0.0005416,13.844,1.9748,6.3081
apart from,apart from,RB IN,34,7.0078e-06,0.0057695,147.49,6.5003,6.8413
apple tree,apple tree,NN NN,46,7.4967e-06,0.039792,205.26,6.7657,8.673
apple tree,apple tree,NN VBP,2,3.2594e-07,0.011019,14.357,1.4138,11.763
ask of,ask of,NN IN,1,1.6297e-07,1.8844e-05,1.8927,0.48124,0.94686
ask of,ask of,VB IN,21,3.4224e-06,0.00039086,1.8448,-0.51154,-0.15267
ask of,ask of,VBP IN,7,1.1408e-06,0.0001317,2.976,1.3386,1.0173
at all,at all,IN DT,1580,0.00026141,0.064133,2674.7,37.607,4.0351
at all,at all,IN PDT,64,1.0593e-05,0.0034891,10.408,3.6726,0.87709
at all,at all,IN RB,3,4.8892e-07,0.00019835,2.7216,1.102,1.459
at first glance,at first glance,IN JJ NN,3,8.1486e-07,0.00044417,0.0,2.2356,12.24
at first,at first,IN JJ,351,8.6864e-05,0.031931,1204.3,22.375,5.0195
at first,at first,IN NN,1,1.6297e-07,6.66e-05,4.7079,0.98532,6.0899
at first,at first,IN RB,40,2.7216e-05,0.010648,340.98,12.415,4.6695
at heart,at heart,IN NN,47,7.8226e-06,0.0028642,18.097,4.4631,1.4909
at home,at home,IN NN,652,0.00010707,0.037332,1352.5,24.645,4.6984
at last,at last,IN JJ,1543,0.00034892,0.12255,7050.7,45.751,6.4766
at least,at least,IN JJS,717,0.00014097,0.055071,3213.9,29.18,6.9937
at least,at least,IN NN,1,1.6297e-07,6.66e-05,4.7079,0.98532,6.0899
at once,at once,IN IN,3,4.8892e-07,0.00019967,7.9492,1.6671,4.7363
at once,at once,IN RB,1736,0.00028781,0.10214,5577.6,41.494,6.3083
at random,at random,IN NN,12,1.9557e-06,0.00079896,57.188,3.4471,7.6749
at that,at that,IN DT,392,7.7249e-05,0.019965,375.77,17.848,2.4723
at that,at that,IN IN,9,1.4667e-06,0.000261,136.42,-60.517,-4.4041
at the moment,at the moment,IN DT NN,43,7.9856e-06,0.00048367,0.0,6.93,6.6431
at the other,at the other,IN DT JJ,80,1.3527e-05,0.00080894,0.0,8.9643,5.9618
at the same time,at the same time,IN DT JJ NN,177,3.4224e-05,0.0026813,0.0,14.491,18.152
at the time,at the time,IN DT NN,88,1.5645e-05,0.0009257,0.0,9.589,5.5509
back up,back up,NN RB,1,1.6297e-07,0.00044111,1.836,0.40421,0.74713
back up,back up,NN RP,1,1.6297e-07,0.00013729,2.1492,-1.3112,-1.2086
back up,back up,RB IN,8,1.3038e-06,0.0024638,11.138,2.5281,3.2356
back up,back up,RB RP,3,4.8892e-07,0.00031455,6.1091,-5.3353,-2.0287
back up,back up,RP IN,2,3.2594e-07,0.0024184,5.1461,1.3368,4.1916
back up,back up,RP RP,3,4.8892e-07,0.0004215,2.1778,0.82128,0.92732
back up,back up,VB RP,2,3.2594e-07,0.00029525,6.0955,1.369,4.9682
bad luck,bad luck,JJ NN,20,3.2594e-06,0.022989,83.81,4.4569,8.193
base on,base on,VBN IN,1,1.6297e-07,6.6443e-05,5.156,0.99019,6.6714
be a man,be a man,VBP DT NN,14,4.0743e-06,0.00055154,0.0,4.9219,6.0001
be a man,be a man,VBZ DT NN,49,8.1486e-06,0.0010087,0.0,6.9719,6.1562
be about,be about,VB IN,11,1.7927e-06,0.00060211,16.416,-9.5774,-1.9589
be about,be about,VB RB,6,9.7783e-07,0.00043382,2.0672,0.76976,0.54425
be at,be at,VBD IN,130,9.0286e-05,0.0091054,11.966,4.4806,0.30465
be at,be at,VBZ IN,95,1.5482e-05,0.0032342,9.0422,-4.6731,-0.56506
be for,be for,VB IN,69,1.1571e-05,0.0020195,44.674,-14.102,-1.4188
be good for,be good for,VB JJ IN,20,3.2594e-06,0.00076701,0.0,4.4174,6.3526
be in,be in,VB IN,374,6.0951e-05,0.0077677,8.5819,3.674,0.30397
be in,be in,VBP IN,197,4.1069e-05,0.0058892,12.521,4.4446,0.47389
be inside,be inside,VBZ IN,4,6.5189e-07,0.00027499,2.6763,1.1317,1.2038
be inside,be inside,VBZ JJ,2,3.2594e-07,0.00013919,5.8769,1.3613,4.7391
be inside,be inside,VBZ RB,5,8.1486e-07,0.00034554,5.1987,1.7776,2.2862
be like that,be like that,VBP IN DT,9,1.4667e-06,0.00063715,0.0,2.9779,7.0876
be on one,be on one,VB IN CD,1,1.6297e-07,4.0948e-05,0.0,0.64871,1.5093
be out,be out,VBZ IN,17,2.7705e-06,0.00097452,4.2397,-2.8791,-0.76407
be out,be out,VBZ RP,28,4.5632e-06,0.0014291,6.3864,-3.9655,-0.80687
be sure to,be sure to,VB JJ TO,102,1.6786e-05,0.0018891,0.0,10.123,8.6227
because of,because of,IN IN,227,3.8461e-05,0.0042935,118.25,11.051,1.8333
because of,because of,NN IN,2,3.2594e-07,3.7698e-05,8.7858,1.3898,5.8538
because of,because of,RB IN,2,3.2594e-07,3.7679e-05,2.1095,0.72949,1.0464
blow in,blow in,VBN IN,5,8.1486e-07,0.00014351,4.8211,1.7188,2.112
boa constrictor,boa constrictor,NN NN,2,3.2594e-07,0.4,25.514,1.4142,19.549
break in,break in,VB IN,2,2.7705e-06,0.00048555,9.4561,2.902,1.7555
break in,break in,VBN IN,16,2.6075e-06,0.00045735,9.7582,2.9001,1.8626
break into,break into,VBD IN,59,9.6153e-06,0.01044,152.88,7.5232,5.6043
bring back,bring back,NN RP,2,3.2594e-07,0.0054127,11.571,1.4123,9.5415
bring back,bring back,VB RB,13,2.1186e-06,0.0038146,18.97,3.2891,3.5103
bring back,bring back,VB RP,29,4.7262e-06,0.029352,110.59,5.3579,7.6238
bring back,bring back,VBP RB,1,1.6297e-07,0.00035467,3.1865,0.92485,3.734
bring back,bring back,VBP RP,2,3.2594e-07,0.0050063,9.2914,1.4074,7.69
bring to,bring to,VBG TO,3,6.5189e-07,5.9518e-05,2.2734,-1.3112,-0.72736
broke into,broke into,NN IN,7,1.1408e-06,0.0013154,24.03,2.6183,6.592
burst into,burst into,JJ IN,1,1.6297e-07,0.00018854,4.7778,0.98791,6.3696
burst into,burst into,NN IN,32,5.2151e-06,0.0059474,109.23,5.608,6.855
burst into,burst into,RB IN,40,6.5189e-06,0.007504,189.66,6.3082,8.592
burst into,burst into,VB IN,15,2.4446e-06,0.0028095,51.735,3.8386,6.8171
burst into,burst into,VBD IN,23,3.7484e-06,0.004318,97.873,4.7771,8.0001
burst into,burst into,VBN IN,7,1.1408e-06,0.0013185,30.426,2.6347,7.8969
burst into,burst into,VBP IN,8,1.3038e-06,0.001506,33.056,2.8144,7.6534
burst into,burst into,VBZ IN,12,1.9557e-06,0.0022531,43.934,3.4387,7.0895
by chance,by chance,IN NN,22,3.9113e-06,0.0030253,33.56,4.4659,3.4998
call out,call out,VBD IN,2,3.2594e-07,0.00053255,1.8555,0.45962,0.56704
call out,call out,VBD RP,156,2.5424e-05,0.026423,449.14,12.307,6.0897
call out,call out,VBN IN,2,3.2594e-07,0.00055096,1.996,0.63803,0.86553
call out,call out,VBN RP,85,1.3853e-05,0.01471,214.73,9.0175,5.5122
can do,can do,MD VB,413,6.7307e-05,0.050706,976.79,19.79,5.2556
care for,care for,NN IN,25,4.0743e-06,0.0011213,13.799,3.5917,1.828
care for,care for,VB IN,193,3.1454e-05,0.0087072,467.95,13.518,5.2136
care for,care for,VBP IN,8,1.3038e-06,0.00036647,15.853,2.6752,4.2061
carry out,carry out,VB RP,27,4.4002e-06,0.0048587,54.643,4.9831,4.6084
catch out,catch out,VBN RP,2,3.2594e-07,0.00036667,2.3465,0.87876,1.4012
catch sight of,catch sight of,VBD NN IN,120,1.9557e-05,0.0033179,0.0,10.954,14.998
catch sight of,catch sight of,VBN NN IN,9,1.4667e-06,0.00024973,0.0,2.9993,12.162
caught sight of,caught sight of,JJ NN IN,2,3.2594e-07,5.572e-05,0.0,1.4142,15.786
caught sight of,caught sight of,NN NN IN,2,3.2594e-07,5.5689e-05,0.0,1.414,12.699
clean out,clean out,JJ IN,9,1.4667e-06,0.0027688,20.047,2.8884,4.7488
clean out,clean out,NN IN,1,1.6297e-07,0.00032216,3.705,0.95979,4.6364
clean out,clean out,VB IN,2,3.2594e-07,0.00064144,5.9488,1.3659,4.8708
clean out,clean out,VB RP,10,1.6297e-06,0.0018988,32.527,3.1256,6.4301
clean out,clean out,VBD RP,4,6.5189e-07,0.00076227,13.689,1.9744,6.2887
clean out,clean out,VBN RP,6,9.7783e-07,0.0011434,21.953,2.4286,6.8737
clean out,clean out,VBP IN,2,3.2594e-07,0.00064694,8.6237,1.4036,7.0514
clean out,clean out,VBP RP,1,1.6297e-07,0.00019084,4.1031,0.97442,5.2887
clean out,clean out,VBZ RP,2,3.2594e-07,0.00038204,9.8915,1.4082,7.8737
close up,close up,JJ IN,1,1.6297e-07,0.0016447,3.6506,0.9575,4.5565
close up,close up,RB IN,12,1.9557e-06,0.015316,41.871,3.4363,6.9635
close up,close up,VB IN,2,4.8892e-07,0.005848,13.282,1.7243,7.801
close up,close up,VB RP,3,4.8892e-07,0.00044095,6.4769,1.6201,3.9517
close up,close up,VBD RP,1,4.8892e-07,0.0004356,3.9949,1.4077,2.4168
come across,come across,VBD IN,36,5.867e-06,0.0067561,57.643,5.6007,3.9096
come across,come across,VBD NN,1,1.6297e-07,0.00022107,4.0689,0.97351,5.2386
come at,come at,NN IN,2,3.2594e-07,0.00013247,2.2621,0.83289,1.2826
come at,come at,VB IN,29,4.7262e-06,0.0016827,2.6975,1.3496,0.41621
come at,come at,VBN IN,24,3.9113e-06,0.0014926,7.3655,2.7703,1.2025
come back,come back,JJ NN,1,1.6297e-07,0.0018282,5.1131,0.99231,7.0222
come back,come back,VB RB,420,6.9915e-05,0.085826,1405.5,20.518,6.7372
come back,come back,VB RP,1,1.6297e-07,0.00038782,1.8899,0.48179,0.94839
come back,come back,VBD RB,404,6.6167e-05,0.055674,1053.8,19.744,5.634
come back,come back,VBD RP,6,9.7783e-07,0.0012314,6.5227,2.0194,2.5097
come back,come back,VBN RB,121,1.972e-05,0.031482,337.33,10.825,5.9706
come back,come back,VBN RP,16,2.6075e-06,0.01124,46.13,3.9378,6.0077
come back,come back,VBP RB,76,1.2386e-05,0.023843,245.54,8.6327,6.6793
come down from,come down from,VB RP IN,5,8.1486e-07,0.00062181,0.0,2.2322,9.1866
come down from,come down from,VBN RB IN,14,2.2816e-06,0.0019737,0.0,3.7407,11.896
come down from,come down from,VBN RP IN,3,4.8892e-07,0.0004126,0.0,1.7297,9.509
come down from,come down from,VBP IN IN,2,3.2594e-07,0.0003637,0.0,1.414,12.714
come down from,come down from,VBP RP IN,1,1.6297e-07,0.00014633,0.0,0.99842,9.3036
come down on,come down on,VB RP IN,3,4.8892e-07,0.00022801,0.0,1.7219,7.4207
come down on,come down on,VBN RP IN,1,1.6297e-07,8.0728e-05,0.0,0.9916,6.895
come down on,come down on,VBP RP IN,1,1.6297e-07,8.3682e-05,0.0,0.99677,8.2746
come down to,come down to,VBD RB TO,41,6.6818e-06,0.00083368,0.0,6.381,8.1789
come down,come down,VB IN,2,3.2594e-07,0.00074502,2.4799,0.93929,1.5742
come down,come down,VB RB,13,3.9113e-06,0.0054299,25.851,4.2491,2.9142
come down,come down,VB RP,97,1.6623e-05,0.021765,215.08,9.7461,4.8367
come down,come down,VBD IN,6,9.7783e-07,0.0012052,5.4371,1.892,2.1355
come down,come down,VBD RB,242,3.9602e-05,0.036193,569.85,15.173,5.2304
come down,come down,VBD RP,4,6.5189e-07,0.00057302,2.4982,-1.6287,-0.85943
come down,come down,VBN RB,35,5.704e-06,0.01072,68.206,5.6578,4.5179
come down,come down,VBN RP,19,3.0965e-06,0.0053802,26.521,3.9659,3.4715
come down,come down,VBP IN,6,9.7783e-07,0.0068689,16.89,2.3989,5.5981
come down,come down,VBP RB,8,1.3038e-06,0.0030663,13.483,2.6208,3.7682
come down,come down,VBP RP,13,2.1186e-06,0.004521,24.796,3.423,4.3036
come from,come from,NN IN,4,6.5189e-07,0.00053626,6.6145,1.7981,3.3081
come from,come from,VB IN,108,1.7601e-05,0.011255,135.51,9.3651,3.3387
come from,come from,VBD IN,212,3.455e-05,0.017831,258.95,13.07,3.288
come from,come from,VBN IN,86,1.4016e-05,0.010189,143.74,8.7212,4.0694
come from,come from,VBP IN,59,9.6153e-06,0.0075792,128.31,7.4248,4.9054
come in,come in,JJ IN,1,1.6297e-07,2.8725e-05,1.8985,0.48972,0.97064
come in,come in,NN IN,16,2.6075e-06,0.00045879,19.605,3.5237,3.0702
come in,come in,VB IN,165,2.9661e-05,0.0049175,92.346,9.7579,1.8536
come in,come in,VBN IN,74,1.2386e-05,0.0021196,32.929,5.9459,1.6531
come in,come in,VBP IN,27,4.4002e-06,0.00076706,11.552,3.4088,1.5397
come in,come in,VBZ IN,1,6.3559e-06,0.0011056,20.682,4.4855,1.8275
come into,come into,VBD IN,225,3.6669e-05,0.022924,345.38,13.96,3.8504
come now,come now,NN RB,1,1.6297e-07,0.00017393,2.1559,0.68977,1.6886
come now,come now,VB RB,7,1.4667e-06,0.0011413,1.77,0.26637,0.13414
come now,come now,VBN RB,4,6.5189e-07,0.00059427,1.7376,0.032412,0.023572
come now,come now,VBP RB,2,3.2594e-07,0.00032922,1.7992,0.34479,0.40317
come on,come on,NN IN,2,3.2594e-07,0.00013216,2.2596,0.83149,1.2791
come on,come on,VB IN,48,1.7438e-05,0.0061957,76.469,8.2381,2.2962
come on,come on,VBN IN,13,5.3781e-06,0.0020478,15.217,3.9249,1.6585
come on,come on,VBP IN,7,1.1408e-06,0.00045281,2.5275,1.1273,0.80108
come out,come out,VB IN,35,6.3559e-06,0.0073522,45.365,5.5302,3.127
come out,come out,VB RB,13,2.6075e-06,0.0063291,38.203,3.8887,5.1678
come out,come out,VB RP,140,2.3631e-05,0.019455,256.82,11.413,4.2588
come out,come out,VBD IN,2,2.1838e-05,0.017635,208.44,10.792,3.884
come out,come out,VBD RP,3,4.4328e-05,0.027906,463.23,15.559,4.1427
come out,come out,VBN IN,25,4.4002e-06,0.0065068,39.744,4.7839,3.6559
come out,come out,VBN RP,55,1.0104e-05,0.0098444,104.65,7.4124,4.0925
come out,come out,VBP IN,10,1.6297e-06,0.0028625,15.506,2.9019,3.6025
come out,come out,VBP RP,16,2.6075e-06,0.0028359,23.063,3.6508,3.5179
come out,come out,VBZ RP,1,5.2151e-06,0.0055973,58.2,5.3647,4.2752
come to that,come to that,VB TO DT,3,4.8892e-07,5.769e-05,0.0,1.5726,3.4416
come to that,come to that,VBN TO DT,1,1.6297e-07,1.9519e-05,0.0,0.86751,2.916
come to,come to,JJ TO,4,6.5189e-07,5.9633e-05,4.0832,1.5082,2.024
come to,come to,NN TO,28,4.5632e-06,0.00041705,31.663,4.5976,2.9309
come to,come to,VB TO,508,8.5397e-05,0.007564,417.79,18.651,2.4326
come to,come to,VBD TO,1705,0.00027852,0.023879,2020.2,36.566,3.1144
come to,come to,VBG TO,207,3.3735e-05,0.0030462,162.26,11.659,2.3987
come to,come to,VBN TO,479,7.8226e-05,0.0070463,640.63,19.783,3.3654
come to,come to,VBP TO,196,3.1942e-05,0.0029052,273.22,12.721,3.4528
come to,come to,VBZ TO,3,2.2979e-05,0.0020877,136.76,10.091,2.735
come up to,come up to,VB RB TO,4,8.1486e-07,0.00010561,0.0,2.2114,6.503
come up to,come up to,VB RP TO,27,4.4002e-06,0.00053265,0.0,5.155,6.9802
come up to,come up to,VBD RB TO,95,1.5482e-05,0.0019437,0.0,9.7353,9.7273
come up to,come up to,VBD RP TO,2,3.2594e-07,3.83e-05,0.0,1.1068,2.2016
come up to,come up to,VBN RB TO,1,1.6297e-07,2.1471e-05,0.0,0.97355,5.2404
come up to,come up to,VBN RP TO,17,2.7705e-06,0.00034054,0.0,4.0982,7.3721
come up to,come up to,VBP RB TO,1,1.6297e-07,2.1674e-05,0.0,0.98983,6.62
come up to,come up to,VBP RP TO,1,1.6297e-07,2.0209e-05,0.0,0.96056,4.6643
come up to,come up to,VBZ RP TO,1,3.2594e-07,4.0377e-05,0.0,1.3812,5.4216
come up,come up,VB IN,2,3.2594e-07,0.00074363,2.4676,0.93417,1.5588
come up,come up,VB RB,22,4.4002e-06,0.006813,36.206,4.7107,3.4201
come up,come up,VB RP,123,2.0697e-05,0.014143,184.5,10.401,3.6982
come up,come up,VBD RB,277,4.5143e-05,0.04427,738.48,16.335,5.7553
come up,come up,VBD RP,104,1.6949e-05,0.0092248,78.667,8.2474,2.3863
come up,come up,VBN RB,2,3.2594e-07,0.00071225,1.924,0.55839,0.72462
come up,come up,VBN RP,42,6.8448e-06,0.0053674,49.6,5.7563,3.1612
come up,come up,VBP RB,8,1.3038e-06,0.0037175,14.998,2.664,4.1042
come up,come up,VBP RP,13,2.1186e-06,0.0018134,14.381,3.1051,2.8489
come up,come up,VBZ RP,2,2.4446e-06,0.0020707,16.044,3.3218,2.8127
cover in,cover in,VBD IN,1,1.6297e-07,2.8664e-05,2.0978,-1.1999,-1.1374
cover in,cover in,VBN IN,2,3.2594e-07,5.7239e-05,2.0432,-1.0073,-0.77592
cover with,cover with,VBD IN,34,5.541e-06,0.001716,73.494,5.6171,4.7693
cover with,cover with,VBN IN,232,3.7809e-05,0.011677,877.79,15.104,6.9013
covered with,covered with,JJ IN,8,1.3038e-06,0.00040553,24.762,2.7807,5.8894
covered with,covered with,NN IN,1,1.6297e-07,5.0714e-05,4.4738,0.98072,5.6968
cry out,cry out,NN IN,6,9.7783e-07,0.0017681,8.899,2.1955,3.2695
cry out,cry out,NN RB,3,4.8892e-07,0.0048622,9.3041,1.6962,5.5956
cry out,cry out,NN RP,5,8.1486e-07,0.0009022,5.0771,1.7639,2.2437
cry out,cry out,VB RP,37,6.03e-06,0.0067537,93.253,5.9448,5.4625
cry out,cry out,VBD IN,9,1.4667e-06,0.0019945,5.3521,2.0427,1.6479
cry out,cry out,VBD RP,148,2.412e-05,0.022219,320.27,11.765,4.9248
cry out,cry out,VBN IN,6,9.7783e-07,0.0016452,6.2119,1.9874,2.4063
cry out,cry out,VBN RP,17,2.7705e-06,0.0029333,20.937,3.6573,3.1461
cry out,cry out,VBP RP,4,6.5189e-07,0.00076169,12.827,1.9676,5.9477
depend on,depend on,NN IN,1,1.6297e-07,6.6441e-05,4.7058,0.98528,6.0865
depend on,depend on,VB IN,51,8.3116e-06,0.0033815,207.97,7.0968,7.3215
depend on,depend on,VBP IN,5,8.1486e-07,0.00033215,20.247,2.2185,6.9934
die for,die for,JJ IN,1,1.6297e-07,4.5867e-05,3.8856,0.96447,4.8149
die for,die for,NN IN,1,1.6297e-07,4.5806e-05,1.9577,0.55236,1.1596
die for,die for,VB IN,12,1.9557e-06,0.00054243,5.3555,2.1391,1.3864
die for,die for,VBP IN,3,4.8892e-07,0.00013723,3.1358,1.2316,1.7911
die of,die of,NN IN,9,1.4667e-06,0.00016954,11.832,2.6369,3.0464
die of,die of,VB IN,53,8.8005e-06,0.0010117,39.734,5.8283,2.2733
die of,die of,VBG IN,34,5.541e-06,0.00063935,38.052,5.0777,2.9525
do no good,do no good,VBN DT JJ,1,1.6297e-07,0.00012212,0.0,0.99105,6.8037
do with,do with,NN IN,2,3.2594e-07,0.00010138,4.8752,1.3188,3.8894
do with,do with,VB IN,339,5.541e-05,0.014268,307.33,15.572,2.6851
do with,do with,VBP IN,17,2.7705e-06,0.00065825,32.756,-14.921,-2.2075
do you know,do you know,VBD PRP VB,14,2.2816e-06,0.00057777,0.0,3.7167,7.2304
do you know,do you know,VBD PRP VBP,4,6.5189e-07,0.0001666,0.0,1.9598,5.6384
down on,down on,IN IN,1,1.6297e-07,6.446e-05,3.5122,-3.5521,-2.1865
down on,down on,NN IN,3,4.8892e-07,0.00019904,6.1443,1.6018,3.7328
down on,down on,RB IN,394,6.5515e-05,0.023306,709.46,18.974,4.2195
down on,down on,RP IN,349,5.6877e-05,0.019925,539.78,17.387,3.8506
down on,down on,VB IN,1,1.6297e-07,6.6436e-05,4.1997,0.97547,5.3495
down on,down on,VBN IN,3,4.8892e-07,0.00019926,9.7705,1.6981,5.6714
drinking water,drinking water,NN NN,1,1.6297e-07,0.00073746,4.1433,0.97618,5.3919
dying of,dying of,NN IN,5,8.1486e-07,9.4226e-05,8.9789,2.0505,3.5907
each other,each other,DT JJ,873,0.00014227,0.20265,3902.9,29.463,8.4633
eat up,eat up,VB RP,12,4.4002e-06,0.0035552,28.383,4.4881,2.8754
eat up,eat up,VBP RP,2,6.5189e-07,0.00058428,6.7951,1.8094,3.3915
eat up,eat up,VBZ RP,1,4.8892e-07,0.00044254,8.5615,1.6824,5.1257
emerge from,emerge from,NN IN,3,4.8892e-07,0.0004067,17.452,1.7279,8.7004
emerge from,emerge from,VB IN,2,3.2594e-07,0.00027106,8.5866,1.4023,6.8931
emerge from,emerge from,VBP IN,2,3.2594e-07,0.00027113,10.557,1.4091,8.1155
enter into,enter into,RB IN,1,1.6297e-07,0.00018857,5.0951,0.99136,6.855
enter into,enter into,RBR IN,1,1.6297e-07,0.00018861,5.6067,0.99482,7.592
enter into,enter into,VB IN,12,1.9557e-06,0.0022268,30.179,3.3758,5.2943
enter into,enter into,VBP IN,2,3.2594e-07,0.00037612,6.2287,1.3727,5.0895
even a,even a,RB DT,153,2.6727e-05,0.0028324,38.184,7.052,1.1541
express train,express train,NN NN,2,3.2594e-07,0.0094118,11.47,1.4122,9.4872
eye to,eye to,NN TO,26,4.5632e-06,0.00041434,2.225,0.97934,0.29527
fade away,fade away,VBD RB,9,1.4667e-06,0.0026962,30.703,2.971,6.6918
fade away,fade away,VBD RP,1,1.6297e-07,0.0023041,4.8503,0.98961,6.5888
fairy tale,fairy tale,JJ NN,19,3.0965e-06,0.068592,111.68,4.3567,10.922
fairy tale,fairy tale,NN NN,1,1.6297e-07,0.0021345,3.8094,0.96487,4.831
feel good,feel good,NN JJ,1,1.6297e-07,0.00025104,3.221,0.9278,3.7919
feel good,feel good,VB JJ,7,1.1408e-06,0.0015415,6.308,2.0751,2.2131
find out,find out,VB RP,427,7.0241e-05,0.06321,1304.7,20.5,6.316
find out,find out,VBP IN,1,1.6297e-07,0.00031085,2.2475,0.73261,1.903
find out,find out,VBP RP,16,2.6075e-06,0.002982,38.163,3.8866,5.1403
first come,first come,JJ VBD,4,6.5189e-07,0.00064584,1.8207,-0.4706,-0.30486
first come,first come,RB VBD,18,5.541e-06,0.0065574,58.372,5.4925,4.1069
first night,first night,JJ NN,25,4.0743e-06,0.006585,33.8,4.5365,3.4312
first night,first night,RB NN,1,1.6297e-07,0.00035868,1.7397,0.074461,0.11163
fond of,fond of,JJ IN,129,2.1023e-05,0.0024281,397.49,11.123,5.5982
fond of,fond of,NN IN,424,6.91e-05,0.0079574,1379.0,20.202,5.7237
fond of,fond of,NNS IN,1,1.6297e-07,1.8849e-05,5.2615,0.98271,5.8538
fond of,fond of,RB IN,9,1.4667e-06,0.00016962,24.038,2.9078,5.0237
fond of,fond of,VB IN,4,6.5189e-07,7.5395e-05,15.834,1.9654,5.8538
for example,for example,IN NN,10,2.1186e-06,0.00059439,20.564,3.3237,3.6774
for fun,for fun,IN NN,45,7.4967e-06,0.0020712,50.291,5.9233,2.9809
for it,for it,IN PRP,1421,0.00023533,0.025358,527.64,24.857,1.5317
for once,for once,IN IN,1,1.6297e-07,4.5848e-05,2.5974,0.83658,2.6133
for once,for once,IN RB,86,1.7275e-05,0.0044026,47.599,7.1527,1.7119
for the first time,for the first time,IN DT JJ NN,171,3.5854e-05,0.0026825,0.0,14.832,17.045
for the world,for the world,IN DT NN,34,5.541e-06,0.00032049,0.0,5.6679,5.1606
for you,for you,IN PRP,1425,0.00023517,0.029428,754.32,27.798,1.8985
fresh water,fresh water,JJ NN,16,2.6075e-06,0.0099657,46.657,3.94,6.0595
from afar,from afar,IN IN,2,3.2594e-07,0.00027113,10.557,1.4091,8.1155
from afar,from afar,IN JJ,1,1.6297e-07,0.00013557,5.7734,0.99519,7.7004
from afar,from afar,IN NN,23,3.9113e-06,0.0032472,111.86,4.8833,8.2854
from afar,from afar,IN NNS,1,1.6297e-07,0.00013556,5.0279,0.99038,6.7004
